folder,model,param,run,solver,policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime,SolverMemOut,SATClauses,SATVars,SolverFailures
nlink-4,nlink-opt-4,opt.15,1,kissat,tabnolim,1.1500000000000001,0.519,0,,5.318,1,0,642.0,0,,,0,2069922,413993,
nlink-4,nlink-opt-4,opt.12,5,chuffed,tab,0.140,0.056,0,,0.528,1,0,69,0,,,,,,31
nlink-4,nlink-opt-4,opt.15,4,minion,tab,0.220791,0.051,0,0.206272,0.283,1,0,9242,0,7,0.001496,,,,
nlink-4,nlink-opt-4,opt.15,3,minion,tabnolim,0.339444,0.774,0,0.019183,1.693,1,0,330,0,7,0.022557,,,,
nlink-6,nlink-opt-6,opt.15,4,gecode,tabnolim,241.188,14.324,0,,36.939,0,0,0,0,,,,,,0
nlink-6,nlink-opt-6,opt.12,5,gecode,tabnolim,70.111,8.38,0,,14.169,1,0,48,0,,,,,,16
nlink-6,nlink-opt-6,opt.12,1,kissat,tabnolim,88.04,4.366,0,,28.459,1,0,2402.0,0,,,0,125521444,17931732,
nlink-6,nlink-opt-6,opt.15,4,ortools,tab,2.362,0.086,0,,0.601,1,0,,0,,,,,,107
nlink-6,nlink-opt-6,opt.15,2,chuffed,tab,0.023,0.074,0,,0.427,1,0,644,0,,,,,,553
nlink-6,nlink-opt-6,opt.12,1,minion,notab,0.173429,,0,0.173432,0.151,1,0,33876,0,6,0,,,,
nlink-6,nlink-opt-6,opt.12,4,gecode,tabnolim,54.091,6.742,0,,12.171,1,0,48,0,,,,,,16
nlink-6,nlink-opt-6,opt.12,2,gecode,notab,0.326,,0,,0.202,1,0,44094,0,,,,,,22040
nlink-6,nlink-opt-6,opt.15,5,kissmdd,tabnolim,119.15,14.577,0,,87.244,1,0,13158.0,0,,,0,208835636,6161,
nlink-6,nlink-opt-6,opt.12,5,kissmdd,tabnolim,17.75,3.075,0,,17.018,1,0,3241.0,0,,,0,42527494,3012,
nlink-6,nlink-opt-6,opt.12,4,minion,notab,0.174771,,0,0.174288,0.211,1,0,33876,0,6,0,,,,
nlink-6,nlink-opt-6,opt.15,3,chuffed,tab,0.023,0.006,0,,0.297,1,0,644,0,,,,,,553
nlink-6,nlink-opt-6,opt.12,3,chuffed,tab,0.017,0.007,0,,0.236,1,0,290,0,,,,,,239
nlink-6,nlink-opt-6,opt.15,5,kissmdd,tab,0.28,0.012,0,,0.767,1,0,44057.0,0,,,0,8480,1936,
nlink-6,nlink-opt-6,opt.15,5,kissat,notab,0.23,,0,,1.071,1,0,29717.0,0,,,0,13478,2006,
nlink-6,nlink-opt-6,opt.12,1,kissmdd,tabnolim,17.67,3.154,0,,17.731,1,0,3085.0,0,,,0,42527494,3012,
nlink-6,nlink-opt-6,opt.15,2,minion,notab,1.35926,,0,1.35763,0.468,1,0,202125,0,7,0.000409,,,,
nlink-6,nlink-opt-6,opt.15,3,gecode,tabnolim,66.617,12.226,0,,36.448,0,0,0,0,,,,,,0
nlink-6,nlink-opt-6,opt.12,2,ortools,notab,0.395,,0,,0.394,1,0,,0,,,,,,1783
nlink-6,nlink-opt-6,opt.15,4,kissmdd,tab,0.15,0.007,0,,0.711,1,0,27834.0,0,,,0,8480,1936,
nlink-6,nlink-opt-6,opt.15,5,minion,notab,1.57954,,0,1.57772,0.317,1,0,202125,0,7,0.000483,,,,
nlink-6,nlink-opt-6,opt.15,4,gecode,tab,0.178,0.07,0,,0.336,1,0,18445,0,,,,,,9211
nlink-6,nlink-opt-6,opt.15,2,ortools,tab,2.195,0.006,0,,0.261,1,0,,0,,,,,,107
nlink-6,nlink-opt-6,opt.15,4,chuffed,notab,1.185,,0,,0.333,1,0,9000,0,,,,,,8714
nlink-6,nlink-opt-6,opt.12,2,chuffed,tab,0.019,0.006,0,,0.232,1,0,290,0,,,,,,239
